,Critic_Score,Critic_Count,User_Score,User_Count
0,76.0,51.0,8,322.0
1,,,,
2,82.0,73.0,8.3,709.0
3,80.0,73.0,8,192.0
4,,,,
5,,,,
6,89.0,65.0,8.5,431.0
7,58.0,41.0,6.6,129.0
8,87.0,80.0,8.4,594.0
9,,,,
10,,,,
11,91.0,64.0,8.6,464.0
12,,,,
13,80.0,63.0,7.7,146.0
14,61.0,45.0,6.3,106.0
15,80.0,33.0,7.4,52.0
16,97.0,50.0,8.2,3994.0
17,95.0,80.0,9,1588.0
18,,,,
19,77.0,58.0,7.9,50.0
20,,,,
21,,,,
22,,,,
23,97.0,58.0,8.1,3711.0
24,95.0,62.0,8.7,730.0
25,,,,
26,77.0,37.0,7.1,19.0
27,,,,
28,95.0,54.0,8.4,314.0
29,88.0,81.0,3.4,8713.0
30,,,,
31,,,,
32,87.0,89.0,6.3,1454.0
33,,,,
34,83.0,21.0,5.3,922.0
35,83.0,73.0,4.8,2256.0
36,94.0,100.0,6.3,2698.0
37,88.0,39.0,3.2,5234.0
38,97.0,56.0,8.5,664.0
39,93.0,81.0,8.9,1662.0
40,85.0,73.0,8.2,632.0
41,88.0,58.0,6.4,1094.0
42,97.0,66.0,8.3,2899.0
43,86.0,57.0,8.7,242.0
44,94.0,86.0,7.8,4100.0
45,,,,
46,,,,
47,,,,
48,89.0,74.0,8.5,272.0
49,97.0,73.0,8.9,2147.0
50,,,,
51,98.0,86.0,7.9,2951.0
52,96.0,16.0,8.7,138.0
53,90.0,82.0,8.4,921.0
54,84.0,82.0,7.5,1112.0
55,94.0,67.0,6.3,2073.0
56,,,,
57,98.0,64.0,7.5,2833.0
58,,,,
59,,,,
60,73.0,29.0,2.6,2117.0
61,74.0,15.0,7.8,16.0
62,78.0,70.0,7.2,424.0
63,,,,
64,91.0,99.0,7.9,2045.0
65,92.0,20.0,9.2,1282.0
66,87.0,87.0,7,3260.0
67,93.0,23.0,9,135.0
68,74.0,24.0,7.3,24.0
69,71.0,10.0,2.6,1047.0
70,94.0,70.0,8.4,1320.0
71,,,,
72,,,,
73,88.0,70.0,8.7,626.0
74,72.0,27.0,7.8,85.0
75,96.0,89.0,8.4,3589.0
76,,,,
77,82.0,42.0,4.3,896.0
78,95.0,91.0,8.2,1218.0
79,68.0,42.0,7.4,54.0
80,62.0,41.0,6.3,190.0
81,88.0,37.0,6.6,348.0
82,,,,
83,,,,
84,92.0,53.0,8.7,1056.0
85,86.0,75.0,7.6,886.0
86,,,,
87,,,,
88,90.0,24.0,8.6,644.0
89,,,,
90,83.0,46.0,8.5,203.0
91,88.0,65.0,7.6,451.0
92,83.0,39.0,5.7,1443.0
93,,,,
94,85.0,41.0,5,398.0
95,,,,
96,,,,
97,97.0,87.0,9.1,1854.0
98,,,,
99,,,,
100,84.0,84.0,7.6,580.0
